Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     79.74     0.00        9     0.00     0.00  std::_Niter_base<unsigned long long*>::iterator_type std::__niter_base<unsigned long long*>(unsigned long long*)
  0.00     79.74     0.00        9     0.00     0.00  std::to_string(int)
  0.00     79.74     0.00        9     0.00     0.00  std::to_string(unsigned long long)
  0.00     79.74     0.00        7     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
  0.00     79.74     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<unsigned long long const, species*> > >::deallocate(std::_Rb_tree_node<std::pair<unsigned long long const, species*> >*, unsigned long long)
  0.00     79.74     0.00        6     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<unsigned long long const, species*> > >::destroy<std::_Rb_tree_node<std::pair<unsigned long long const, species*> > >(std::_Rb_tree_node<std::pair<unsigned long long const, species*> >*)
  0.00     79.74     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<unsigned long long const, species*> > >::allocate(unsigned long long, void const*)
  0.00     79.74     0.00        6     0.00     0.00  _ZN9__gnu_cxx13new_allocatorISt13_Rb_tree_nodeISt4pairIKyP7speciesEEE9constructIS7_IS2_IyS5_EEEEvPT_DpOT0_
  0.00     79.74     0.00        6     0.00     0.00  phylogeny::updatePhylogeny(species*)
  0.00     79.74     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<unsigned long long const, species*> > >::max_size() const
  0.00     79.74     0.00        6     0.00     0.00  std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_M_get_Tp_allocator() const
  0.00     79.74     0.00        6     0.00     0.00  std::move_iterator<unsigned long long*>::base() const
  0.00     79.74     0.00        6     0.00     0.00  std::vector<unsigned long long, std::allocator<unsigned long long> >::max_size() const
  0.00     79.74     0.00        6     0.00     0.00  std::_Iter_base<std::move_iterator<unsigned long long*>, true>::_S_base(std::move_iterator<unsigned long long*>)
  0.00     79.74     0.00        6     0.00     0.00  std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_M_get_Tp_allocator()
  0.00     79.74     0.00        6     0.00     0.00  std::_Rb_tree_node<std::pair<unsigned long long const, species*> >::_Rb_tree_node<std::pair<unsigned long long, species*> >(std::pair<unsigned long long, species*>&&)
  0.00     79.74     0.00        6     0.00     0.00  std::move_iterator<unsigned long long*>::move_iterator(unsigned long long*)
  0.00     79.74     0.00        6     0.00     0.00  _ZNSt16allocator_traitsISaISt13_Rb_tree_nodeISt4pairIKyP7speciesEEEE12_S_constructIS6_IS1_IyS4_EEEENSt9enable_ifIXsrNS8_18__construct_helperIT_IDpT0_EEE5valueEvE4typeERS7_PSD_DpOSE_
  0.00     79.74     0.00        6     0.00     0.00  _ZNSt16allocator_traitsISaISt13_Rb_tree_nodeISt4pairIKyP7speciesEEEE9constructIS6_IS1_IyS4_EEEEDTcl12_S_constructfp_fp0_spcl7forwardIT0_Efp1_EEERS7_PT_DpOSB_
  0.00     79.74     0.00        6     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<unsigned long long> >::__maxsize_helper<std::allocator<unsigned long long> const>::value, unsigned long long>::type std::allocator_traits<std::allocator<unsigned long long> >::_S_max_size<std::allocator<unsigned long long> const>(std::allocator<unsigned long long> const&)
  0.00     79.74     0.00        6     0.00     0.00  std::allocator_traits<std::allocator<unsigned long long> >::max_size(std::allocator<unsigned long long> const&)
  0.00     79.74     0.00        6     0.00     0.00  std::pair<unsigned long long const, species*>::pair<unsigned long long, species*, void>(std::pair<unsigned long long, species*>&&)
